creating new summary file
creating new summary file
start at epoch 0
downscale epochs: [35], downscale rate: 5.0
setting learning rate to 0.001
Epoch 0/100, Iter 95/164, train loss = 0.041, time = 0.097
Epoch 0/100, Iter 96/164, train loss = 0.005, time = 0.099
Epoch 0/100, Iter 97/164, train loss = 0.001, time = 0.097
Epoch 0/100, Iter 98/164, train loss = 0.007, time = 0.096
Epoch 0/100, Iter 99/164, train loss = 0.026, time = 0.092
Epoch 0/100, Iter 100/164, train loss = 0.015, time = 0.093
Epoch 0/100, Iter 101/164, train loss = 0.020, time = 0.094
Epoch 0/100, Iter 102/164, train loss = 0.018, time = 0.103
Epoch 0/100, Iter 103/164, train loss = 0.022, time = 0.096
Epoch 0/100, Iter 104/164, train loss = 0.005, time = 0.095
Epoch 0/100, Iter 105/164, train loss = 0.034, time = 0.091
Epoch 0/100, Iter 106/164, train loss = 0.011, time = 0.091
Epoch 0/100, Iter 107/164, train loss = 0.014, time = 0.090
Epoch 0/100, Iter 108/164, train loss = 0.017, time = 0.098
Epoch 0/100, Iter 109/164, train loss = 0.006, time = 0.093
Epoch 0/100, Iter 110/164, train loss = 0.091, time = 0.093
Epoch 0/100, Iter 111/164, train loss = 0.006, time = 0.092
Epoch 0/100, Iter 112/164, train loss = 0.007, time = 0.103
Epoch 0/100, Iter 113/164, train loss = 0.016, time = 0.096
Epoch 0/100, Iter 114/164, train loss = 0.016, time = 0.095
Epoch 0/100, Iter 115/164, train loss = 0.082, time = 0.093
Epoch 0/100, Iter 116/164, train loss = 0.004, time = 0.094
Epoch 0/100, Iter 117/164, train loss = 0.010, time = 0.097
Epoch 0/100, Iter 118/164, train loss = 0.012, time = 0.092
Epoch 0/100, Iter 119/164, train loss = 0.010, time = 0.093
Epoch 0/100, Iter 120/164, train loss = 0.071, time = 0.101
Epoch 0/100, Iter 121/164, train loss = 0.004, time = 0.096
Epoch 0/100, Iter 122/164, train loss = 0.048, time = 0.093
Epoch 0/100, Iter 123/164, train loss = 0.010, time = 0.092
Epoch 0/100, Iter 124/164, train loss = 0.005, time = 0.091
Epoch 0/100, Iter 125/164, train loss = 0.008, time = 0.096
Epoch 0/100, Iter 126/164, train loss = 0.014, time = 0.093
Epoch 0/100, Iter 127/164, train loss = 0.009, time = 0.093
Epoch 0/100, Iter 128/164, train loss = 0.011, time = 0.092
Epoch 0/100, Iter 129/164, train loss = 0.011, time = 0.093
Epoch 0/100, Iter 130/164, train loss = 0.010, time = 0.093
Epoch 0/100, Iter 131/164, train loss = 0.006, time = 0.094
Epoch 0/100, Iter 132/164, train loss = 0.003, time = 0.091
Epoch 0/100, Iter 133/164, train loss = 0.012, time = 0.096
Epoch 0/100, Iter 134/164, train loss = 0.009, time = 0.096
Epoch 0/100, Iter 135/164, train loss = 0.004, time = 0.095
Epoch 0/100, Iter 136/164, train loss = 0.020, time = 0.091
Epoch 0/100, Iter 137/164, train loss = 0.004, time = 0.090
Epoch 0/100, Iter 138/164, train loss = 0.009, time = 0.092/home/lijianing/anaconda3/envs/py36/lib/python3.6/site-packages/torch/nn/functional.py:2952: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/lijianing/anaconda3/envs/py36/lib/python3.6/site-packages/torch/nn/functional.py:3063: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
main_baseline.py:186: UserWarning: Using a target size (torch.Size([2, 1, 250, 400])) that is different to the input size (torch.Size([2, 250, 400])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  loss1 = F.mse_loss(depth_ests, depth_gt)

Epoch 0/100, Iter 139/164, train loss = 0.002, time = 0.092
Epoch 0/100, Iter 140/164, train loss = 0.010, time = 0.096
Epoch 0/100, Iter 141/164, train loss = 0.002, time = 0.093
Epoch 0/100, Iter 142/164, train loss = 0.015, time = 0.100
Epoch 0/100, Iter 143/164, train loss = 0.090, time = 0.094
Epoch 0/100, Iter 144/164, train loss = 0.007, time = 0.092
Epoch 0/100, Iter 145/164, train loss = 0.010, time = 0.106
Epoch 0/100, Iter 146/164, train loss = 0.002, time = 0.103
Epoch 0/100, Iter 147/164, train loss = 0.047, time = 0.094
Epoch 0/100, Iter 148/164, train loss = 0.008, time = 0.092
Epoch 0/100, Iter 149/164, train loss = 0.016, time = 0.093
Epoch 0/100, Iter 150/164, train loss = 0.021, time = 0.102
Epoch 0/100, Iter 151/164, train loss = 0.042, time = 0.093
Epoch 0/100, Iter 152/164, train loss = 0.014, time = 0.093
Epoch 0/100, Iter 153/164, train loss = 0.005, time = 0.096
Epoch 0/100, Iter 154/164, train loss = 0.004, time = 0.108
Epoch 0/100, Iter 155/164, train loss = 0.017, time = 0.092
Epoch 0/100, Iter 156/164, train loss = 0.010, time = 0.097
Epoch 0/100, Iter 157/164, train loss = 0.013, time = 0.093
Epoch 0/100, Iter 158/164, train loss = 0.013, time = 0.093
Epoch 0/100, Iter 159/164, train loss = 0.042, time = 0.088
Epoch 0/100, Iter 160/164, train loss = 0.005, time = 0.092
Epoch 0/100, Iter 161/164, train loss = 0.064, time = 0.090
Epoch 0/100, Iter 162/164, train loss = 0.007, time = 0.104
Epoch 0/100, Iter 163/164, train loss = 0.009, time = 0.091
